Partial,Newly Added,Deleted
_vm_map_lookup_locked,csfg_get_identity,ddi_prop_lookup_int_array
_vm_object_purgable_control,csfg_get_platform_identifier,ddi_prop_free
_nfs4_close_rpc,csvnode_get_platform_identifier,kdbg_get_task_name
_nfs4_open_downgrade_rpc,csproc_get_platform_identifier,SET_VM_MAP_FORK_PIDWATCH_ALLOWED
_nfs4_unlock_rpc,get_zone_map_size,SET_VM_MAP_FORK_PIDWATCH_NOT_ALLOWED
_nfssvc_addsock,memorystatus_abort_vm_map_fork,persona_invalidate
_igmp_timeout,set_vm_map_fork_pidwatch,killpg1_filt
_mld_timeout,memorystatus_kill_proc,sysctl_audio_buffer
_bpfread,persona_lookup_and_invalidate,dlil_ifp_proto_count
_rmdir_remove_orphaned_appleDouble,cansignal,necp_defunct_client
_enterpgrp,killpg1_allfilt,mptcp_usrclosed
_acpi_sleep_kernel,sysctl_osproductversion,sync_thread
_kernel_debug_string_simple,proc_udata_info,sync_async
_serial_init,pthread_bootstrap_return,iokit_add_connect_reference
_c_decompress_page,eventhandler_reap_caches,SHA384_Init
_vm_purgeable_nonvolatile_dequeue,m_avgtotal,SHA384_Update
_nfs_buf_release,__nosan_crc16,SHA384_Final
_x86_validate_topology,throttle_get_thread_effective_io_policy,APPLE_KEXT_WSHADOW_PUSH
_acpi_idle_kernel,fq_codel_reap_caches,chudxnu_logical_cpu_count
_pmap_flush,ifclassq_reap_caches, chudxnu_phys_cpu_count(void)
_dlil_output,dlil_ifp_protolist,chudxnu_cpu_number
_buf_biodone,if_get_protolist,chudxnu_set_interrupts_enabled
_linkat_internal,if_free_protolist,chudxnu_cause_interrupt
_nfs_vnop_mmap,dlil_post_sifflags_msg,chudxnu_enable_preemption
_nfsrv_export,if_check_netagent,chudxnu_disable_preemption
_route_to_gwroute,ifioctl_get_protolist,chudxnu_get_preemption_level
_pmap_lowmem_finalize,feth_enable_dequeue_stall,chudxnu_platform_ptr
_bond_set_mtu,if_ports_used_init,chudxnu_avail_memory_size
_in6_mc_join,net_port_entry_list_clear,chudxnu_phys_memory_size
